Cost Center,L2,L3,Entity,CostBucket,Period,MKT Total Cost,MKT Internal Cost,Manual adjustment,MKT External Cost,Chargeable total cost,Chargeable external cost,Chargeable internal cost,Chargeable internal cost + Markup,Total non chargeable cost,Total cost Post Markup,Dell/EMC,Dell,EMC
IE10001168,L2 Mktg BU Mktg,L3 Mktg ISG Telecom Mktg,IE10,CORPORATE MKT OTHER,Q4 FY25,1133349,317337.72,0,816011.28,419339.13,301924.1736,117414.9564,129156.452,714009.87,548495.582,EMC,312642.4818,235853.1003
IE10001204,L2 Mktg Field Partner EMEA,L3 Mktg FP EMEA,IE10,CORPORATE MKT OTHER,Q4 FY25,1000000,500000,0,500000,900000,450000,450000,495000,100000,1395000,EMC,977275,30225
U009000052,L2 Mktg Field Partner AMER,L3 Mktg FP NA,U009,CORPORATE MKT OTHER,Q4 FY25,9350554,7480443.2,0,1871110.8,8789520.76,1758844.152,7030676.608,7733744.269,561033.24,16523265.03,Dell,300614.946,226779.6961
U009000053,L2 Mktg Field Partner AMER,L3 Mktg FP NA,U009,CORPORATE MKT OTHER,Q4 FY25,0,0,0,0,0,0,0,0,0,0,Dell,0,0
U010001426,L2 Mktg BU Mktg,L3 Mktg ISG Telecom Mktg,U010,SBU MKT ISG,Q4 FY25,-2002243,-1021143.93,0,-981099.07,-640717.76,-313951.7024,-326766.0576,-359442.6634,-1361525.24,-1000160.423,EMC,-860763.0644,-201907.3855
U010001427,L2 Mktg BU Mktg,L3 Mktg Executive,U010,CORPORATE MKT OTHER,Q4 FY25,1868636,710081.68,0,1158554.32,448472.64,278053.0368,170419.6032,187461.5635,1420163.36,635934.2035,EMC,364867.2493,1781410.688
U010001429,L2 Mktg BU Mktg,L3 Mktg GFP Partner,U010,CORPORATE MKT OTHER,Q4 FY25,30000000,26400000,0,3600000,24300000,2916000,21384000,23522400,5700000,47822400,EMC,5756400,32619600
U010001430,L2 Mktg Brand,L3 Mktg Digital,U010,CORPORATE MKT,Q4 FY25,25000000,12750000,0,12250000,9750000,4777500,4972500,5469750,15250000,15219750,EMC,3231270,280980
U010001432,L2 Mktg Field Partner AMER,L3 Mktg FP NA,U010,CORPORATE MKT OTHER,Q4 FY25,-100000000,-55000000,200,-45000000,-14000000,-6300000,-7700000,-8470000,-86000000,-22470000,EMC,-2214900,-108530100
U010001433,L2 Mktg BU Mktg,L3 Mktg GFP Partner,U010,CORPORATE MKT OTHER,Q4 FY25,12000000,9120000,0,2880000,1200000,288000,912000,1003200,10800000,2203200,EMC,11535955.2,5428684.8
U010001435,L2 Mktg BU Mktg,L3 Mktg Services DFS Mktg,U010,CORPORATE MKT OTHER,Q4 FY25,12000000,9120000,0,2880000,8880000,2131200,6748800,7423680,3120000,16303680,EMC,5776790.4,9425289.6
U010001436,L2 Mktg BU Mktg,L3 Mktg ISG Telecom Mktg,U010,SBU MKT ISG,Q4 FY25,12000000,1200000,0,10800000,10800000,9720000,1080000,1188000,1200000,11988000,EMC,1132200,3396600
U010001437,L2 Mktg Brand,L3 Mktg Experiential,U010,CORPORATE MKT,Q4 FY25,12000000,4560000,0,7440000,1560000,967200,592800,652080,10440000,2212080,EMC,1328949.6,542810.4
